name,id,frequent_build,winning_build
AP Nunu, 20, (3110; 3116; 3117; 3151; 3211; 3364; 3721), (3110; 3116; 3117; 3151; 3211; 3364; 3721)
AP MissFortune, 21, (3089; 3100; 3116; 3157; 3158; 3165; 3362), (3089; 3100; 3115; 3117; 3135; 3157; 3340)
AP Ashe, 22, (3042; 3089; 3135; 3157; 3158; 3285; 3340), (3042; 3089; 3135; 3157; 3158; 3285; 3340)
AP Tryndamere, 23, (3089; 3115; 3135; 3157; 3158; 3285; 3340), (3089; 3115; 3135; 3157; 3158; 3285; 3340)
AP Jax, 24, (1028; 1029; 2041; 3078; 3111; 3153; 3340), (2003; 2004; 2041; 3078; 3111; 3153; 3340)
AP Morgana, 25, (1026; 1052; 1056; 1058; 3020; 3157; 3340), (1026; 1052; 1056; 1058; 3020; 3157; 3340)
AP Zilean, 26, (3023; 3040; 3089; 3135; 3157; 3158; 3340), (3089; 3135; 3157; 3158; 3174; 3285; 3340)
AP Singed, 27, (1031; 2041; 3027; 3111; 3116; 3151; 3340), (3040; 3047; 3075; 3102; 3116; 3151; 3361)
AP Evelynn, 28, (3089; 3116; 3117; 3157; 3285; 3340; 3724), (3089; 3116; 3117; 3157; 3285; 3340; 3724)
AP Twitch, 29, (1056; 1056; 1056; 1056; 1056; 1056; 3342), ()
AP Karthus, 30, (1026; 3020; 3027; 3040; 3089; 3157; 3340), (3020; 3040; 3089; 3116; 3135; 3157; 3340)
AP Chogath, 31, (1026; 1056; 1058; 3027; 3110; 3111; 3340), (1026; 1056; 1058; 3027; 3110; 3111; 3340)
AP Amumu, 32, (3001; 3047; 3110; 3151; 3157; 3340; 3725), (3001; 3047; 3110; 3151; 3157; 3340; 3725)
AP Rammus, 33, (3089; 3117; 3135; 3151; 3157; 3285; 3363), (3089; 3117; 3135; 3151; 3157; 3285; 3363)
AP Anivia, 34, (1026; 1056; 1058; 3020; 3027; 3040; 3340), (1026; 1056; 1058; 3020; 3027; 3040; 3340)
AP Shaco, 35, (3089; 3116; 3158; 3191; 3285; 3340; 3708), (1058; 3020; 3089; 3157; 3285; 3340; 3708)
AP DrMundo, 36, (1028; 2003; 3020; 3116; 3151; 3211; 3340), (1028; 2003; 3020; 3116; 3151; 3211; 3340)
AP Sona, 37, (2049; 3057; 3092; 3113; 3158; 3174; 3340), (2049; 3092; 3100; 3158; 3174; 3340; 3504)
AP Kassadin, 38, (3020; 3027; 3089; 3135; 3157; 3285; 3340), (3020; 3027; 3089; 3135; 3157; 3285; 3340)
AP Irelia, 39, (1011; 2003; 2041; 3047; 3078; 3082; 3340), (1043; 2041; 3047; 3078; 3144; 3211; 3340)
AP Janna, 40, (2049; 3028; 3041; 3092; 3114; 3117; 3341), (2049; 3092; 3108; 3113; 3117; 3222; 3341)
AP Gangplank, 41, (1018; 1037; 1038; 2041; 3078; 3158; 3340), (1037; 2004; 2041; 3078; 3087; 3158; 3340)
AP Corki, 42, (1018; 1037; 1038; 1055; 3020; 3078; 3340), (1018; 1037; 1038; 1055; 3020; 3078; 3340)
AP Karma, 43, (1052; 1056; 1058; 3020; 3165; 3285; 3340), (1052; 1058; 2049; 3020; 3092; 3165; 3341)
AP Taric, 44, (1011; 2049; 3025; 3082; 3117; 3302; 3341), (3050; 3060; 3065; 3211; 3211; 3340; 3401)
AP Veigar, 45, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
AP Trundle, 48, (3136; 3136; 3136; 3136; 3136; 3136; 3342), (1029; 1031; 2049; 3047; 3078; 3364; 3401)
AP Swain, 50, (1026; 1056; 1058; 3020; 3027; 3157; 3340), (1026; 1056; 1058; 3020; 3027; 3157; 3340)
AP Caitlyn, 51, (3136; 3136; 3136; 3136; 3136; 3136; 3363), (3136; 3136; 3136; 3136; 3136; 3136; 3363)
AP Blitzcrank, 53, (2049; 3010; 3025; 3117; 3301; 3341; 3801), (2049; 3010; 3025; 3117; 3301; 3341; 3801)
AP Malphite, 54, (1026; 1057; 2041; 3025; 3047; 3068; 3340), (3025; 3047; 3068; 3075; 3110; 3151; 3340)
AP Katarina, 55, (1026; 1052; 1058; 3020; 3157; 3285; 3340), (1026; 1052; 3020; 3089; 3157; 3285; 3340)
AP Nocturne, 56, (1055; 2003; 3078; 3117; 3142; 3144; 3340), ()
