name,id,frequent_build,winning_build
Rammus, 33, 3075;3083;3117;3143;3211;3340;3725, 1026;1057;3075;3117;3340;3725;3800
Anivia, 34, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
Shaco, 35, 3006;3031;3035;3074;3087;3340;3707, 3006;3031;3035;3074;3087;3340;3707
DrMundo, 36, 3047;3065;3068;3075;3083;3143;3340, 3047;3065;3068;3075;3083;3143;3340
Sona, 37, 2049;3057;3092;3113;3158;3340;3504, 2049;3092;3158;3190;3222;3364;3504
Kassadin, 38, 3020;3027;3089;3100;3157;3285;3340, 3020;3027;3089;3100;3157;3285;3340
Irelia, 39, 1011;2041;3065;3078;3082;3111;3340, 2041;3047;3065;3078;3143;3144;3340
Janna, 40, 2049;3069;3110;3117;3190;3222;3364, 2049;3028;3069;3114;3117;3190;3341
Gangplank, 41, 3031;3035;3046;3078;3087;3142;3361, 3031;3065;3078;3087;3111;3143;3340
Corki, 42, 1053;1055;3020;3031;3035;3078;3340, 1053;1055;3020;3031;3035;3078;3340
Karma, 43, 1026;1056;1058;3020;3165;3285;3340, 1052;2049;3020;3092;3136;3165;3341
Taric, 44, 2045;3047;3075;3110;3190;3364;3401, 1028;2049;3047;3068;3105;3340;3401
Veigar, 45, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
Trundle, 48, 3067;3111;3143;3153;3211;3340;3709, 3067;3111;3143;3153;3211;3340;3709
Swain, 50, 1026;1056;1058;3020;3027;3157;3340, 1026;1056;1058;3020;3027;3157;3340
Caitlyn, 51, 1053;1055;3006;3031;3035;3046;3340, 1053;1055;3006;3031;3035;3046;3340
Blitzcrank, 53, 1011;2049;3082;3117;3341;3401;3800, 1011;2049;3082;3117;3341;3401;3800
Malphite, 54, 3047;3068;3075;3102;3110;3143;3340, 3047;3068;3075;3083;3110;3143;3340
Katarina, 55, 3001;3020;3089;3135;3157;3285;3340, 3001;3020;3089;3135;3157;3285;3340
Nocturne, 56, 3074;3102;3117;3143;3153;3340;3710, 3074;3102;3117;3143;3153;3340;3710
Maokai, 57, 3065;3110;3117;3143;3340;3725;3800, 1056;3027;3047;3067;3110;3211;3340
Renekton, 58, 3065;3068;3074;3075;3111;3143;3340, 3065;3068;3074;3075;3111;3143;3340
JarvanIV, 59, 1029;1031;3102;3117;3143;3340;3709, 1029;1031;3102;3117;3143;3340;3709
Elise, 60, 1026;3001;3020;3110;3151;3340;3717, 3100;3117;3151;3152;3285;3340;3708
Orianna, 61, 3020;3089;3135;3157;3174;3285;3340, 3020;3089;3135;3157;3174;3285;3340
MonkeyKing, 62, 3035;3071;3074;3102;3111;3143;3340, 3068;3071;3074;3117;3143;3340;3707
Brand, 63, 1026;1056;1058;3020;3151;3285;3340, 1026;1056;1058;3020;3151;3285;3340
LeeSin, 64, 1028;2049;3117;3143;3211;3341;3707, 1028;2049;3117;3143;3211;3340;3707
Vayne, 67, 1037;1038;1055;3006;3046;3153;3340, 1037;1038;1055;3006;3046;3153;3340
Rumble, 68, 1011;1026;1052;3020;3151;3157;3340, 3001;3020;3116;3135;3151;3157;3340
Cassiopeia, 69, 3020;3040;3089;3135;3157;3285;3340, 3020;3040;3089;3135;3157;3285;3340
Skarner, 72, 3025;3110;3117;3190;3340;3709;3800, 3025;3110;3117;3190;3340;3709;3800
Heimerdinger, 74, 1026;1056;1058;3020;3157;3165;3340, 1026;1056;1058;3020;3157;3165;3340
